FTEM Treatment ID (system generated),Treatment Agency,Treatment Area/Region,Admin Forest Code,Treatment Unit,Treatment Sub-Unit,Treatment ID (FACTS ID or NFPORS ID),Treatment FTEM Monitoring Status,Treatment Name,Treatment Completion Acres,Treatment Completion Month,Treatment completion year,Treatment Type,Wildfire Name,Wildfire Discovery Date
745300,NPS,Intermountain Regional Office,,,,3330974,Not Started,FY11 BAND WF INCIDENT - Multiple Objectives,12193,6,2011,Fire Use,Ponderosa ,2019-09-07
745300,NPS,Intermountain Regional Office,,,,3330974,Not Started,FY11 BAND WF INCIDENT - Multiple Objectives,12193,6,2011,Fire Use,County Line,2019-08-27
745300,NPS,Intermountain Regional Office,,,,3330974,Not Started,FY11 BAND WF INCIDENT - Multiple Objectives,12193,6,2011,Fire Use,Frijoles,2019-07-15
745300,NPS,Intermountain Regional Office,,,,3330974,Not Started,FY11 BAND WF INCIDENT - Multiple Objectives,12193,6,2011,Fire Use,Apache #2,2019-08-02
745300,NPS,Intermountain Regional Office,,,,3330974,Not Started,FY11 BAND WF INCIDENT - Multiple Objectives,12193,6,2011,Fire Use,Apache #1,2019-08-02
745911,NPS,Intermountain Regional Office,,Bandelier National Monument,,3330969,Not Started,Apache Springs (UF-14/27) RX - Los Conchas WF (ADD-ON),1185,6,2011,Broadcast Burn,County Line,2019-08-27
745911,NPS,Intermountain Regional Office,,Bandelier National Monument,,3330969,Not Started,Apache Springs (UF-14/27) RX - Los Conchas WF (ADD-ON),1185,6,2011,Broadcast Burn,Apache #1,2019-08-02
745911,NPS,Intermountain Regional Office,,Bandelier National Monument,,3330969,Not Started,Apache Springs (UF-14/27) RX - Los Conchas WF (ADD-ON),1185,6,2011,Broadcast Burn,Apache #2,2019-08-02
746260,NPS,Intermountain Regional Office,,,,3322559,In Progress,FY10 GRCA WF Incidents - Multiple Objectives,3121,6,2010,Fire Use,IKES,2019-07-25
746390,NPS,Intermountain Regional Office,,Grand Canyon National Park,,3315722,Not Started,Yavapai Contract Thin (ADD-ON),50,1,2015,Thinning,YAVAPAI,2019-06-14
746390,NPS,Intermountain Regional Office,,Grand Canyon National Park,,3315722,Not Started,Yavapai Contract Thin (ADD-ON),50,1,2015,Thinning,ROUZER,2019-07-30
746751,NPS,Intermountain Regional Office,,Bandelier National Monument,,3324631,Not Started,Apache Springs (UF-14/LF-27) Pile Burn PH 2 (ADD-ON),135,0,2011,Hand Pile Burn,County Line,2019-08-27
746751,NPS,Intermountain Regional Office,,Bandelier National Monument,,3324631,Not Started,Apache Springs (UF-14/LF-27) Pile Burn PH 2 (ADD-ON),135,0,2011,Hand Pile Burn,Apache #2,2019-08-02
746751,NPS,Intermountain Regional Office,,Bandelier National Monument,,3324631,Not Started,Apache Springs (UF-14/LF-27) Pile Burn PH 2 (ADD-ON),135,0,2011,Hand Pile Burn,Apache #1,2019-08-02
746751,NPS,Intermountain Regional Office,,Bandelier National Monument,,3324631,Not Started,Apache Springs (UF-14/LF-27) Pile Burn PH 2 (ADD-ON),135,0,2011,Hand Pile Burn,Ponderosa ,2019-09-07
746758,NPS,Intermountain Regional Office,,Grand Canyon National Park,,3324627,Not Started,Range Arch Site Prep (ADD-ON),5,10,2010,Thinning,WIDFORSS,2019-08-28
747076,NPS,Intermountain Regional Office,,Yellowstone National Park,,6276897,Not Started,Mammoth Mowing (ADD-ON),17,7,2012,Mowing,NORTH ENTRANCE,2019-07-27
747267,NPS,Intermountain Regional Office,,Lake Meredith National Recreation Area,,6285361,Not Started,North Canyon Triangle Unit Rx Prep (ADD-ON),15,11,2013,Mastication,Bugbee,2019-03-13
747442,NPS,Intermountain Regional Office,,Grand Canyon National Park,,3324973,Not Started,Roost Spring Cyn Pile Burn,30,9,2011,Hand Pile Burn,IKES,2019-07-25
747538,NPS,Intermountain Regional Office,,Bandelier National Monument,,3330973,Not Started,Backgate Escarpment (UF27) RX - Los Conchas WF (ADD-ON),132,6,2011,Thinning,Ponderosa ,2019-09-07
747837,NPS,Intermountain Regional Office,,Grand Canyon National Park,,6291374,Not Started,GCVC FY15 Contract Chip (ADD-ON),128,1,2015,Chipping,YAVAPAI,2019-06-14
747864,NPS,Intermountain Regional Office,,,,6300008,Not Started,North Unit N Cyn RX - FY16 Triangle WF,163,1,2016,Fire Use,Bugbee,2019-03-13
747896,NPS,Intermountain Regional Office,,Lake Meredith National Recreation Area,,6281174,Not Started,N Cyn FY16 Mastication (ADD-ON),142,8,2016,Mastication,Bugbee,2019-03-13
747896,NPS,Intermountain Regional Office,,Lake Meredith National Recreation Area,,6281174,Not Started,N Cyn FY16 Mastication (ADD-ON),142,8,2016,Mastication,Week Old ,2019-06-22
748414,NPS,Intermountain Regional Office,,Glacier National Park,,6283448,Not Started,St. Mary Admin. Thin (ADD-ON),15,8,2013,Thinning,Corral ,2019-10-25
748614,NPS,Intermountain Regional Office,,Grand Canyon National Park,,6291984,Not Started,Bright Angel - Harvey Meadow FY16 Pile Burn,38,10,2015,Hand Pile Burn,WIDFORSS,2019-08-28
748817,NPS,Intermountain Regional Office,,Grand Canyon National Park,,6271278,Not Started,Range RX,2278,10,2012,Broadcast Burn,WIDFORSS,2019-08-28
749100,NPS,Intermountain Regional Office,,Grand Canyon National Park,,6270685,Not Started,Range Fall FY12 Burn Prep (ADD-ON),45,10,2011,Thinning,WIDFORSS,2019-08-28
749214,NPS,Intermountain Regional Office,,Lake Meredith National Recreation Area,,6270673,Not Started,Bugbee N. Cyn Mastication (ADD-ON),400,4,2012,Mastication,Bugbee,2019-03-13
750019,NPS,Intermountain Regional Office,,Bandelier National Monument,,3322967,Not Started,Obsidian (UF-12) RX - Los Conchas (ADD-ON),1738,6,2011,Broadcast Burn,Apache #1,2019-08-02
750075,NPS,Intermountain Regional Office,,Lake Meredith National Recreation Area,,3327424,Not Started,Bugbee North Cyn Mastication/Mow (ADD-ON),300,8,2011,Mastication/Mowing,Bugbee,2019-03-13
750346,NPS,Intermountain Regional Office,,Grand Canyon National Park,,3314402,Not Started,Bright Angel - Campground Rx (ADD-ON),37,10,2014,Broadcast Burn,EDR ,2019-08-31
750710,NPS,Intermountain Regional Office,,Grand Canyon National Park,,6291373,Not Started,GCVC FY15 Contract Thin (ADD-ON),128,1,2015,Thinning,YAVAPAI,2019-06-14
751242,NPS,Intermountain Regional Office,,Grand Canyon National Park,,6291892,Not Started,"Indian Grdns, Phantom Rnch, Roaring Sprgs, &amp; Cottonwood CGs Handpile (ADD-ON)",2,1,2015,Hand Pile,COTTONWOOD FIRE,2019-05-27
751374,NPS,Intermountain Regional Office,,Grand Canyon National Park,,6291893,Not Started,"Indian Grdns, Phantom Rnch, Roaring Sprgs, &amp; Cottonwood CGs Handpile RX (ADD-ON)",2,1,2015,Hand Pile Burn,COTTONWOOD FIRE,2019-05-27
751481,NPS,Intermountain Regional Office,,Grand Canyon National Park,,3324985,Not Started,"Indian Grdns, Phantom Rnch, Roaring Sprgs, &amp; Cottonwood CGs Handpile (ADD-ON)",5,0,2014,Hand Pile,COTTONWOOD FIRE,2019-05-27
751556,NPS,Intermountain Regional Office,,Lake Meredith National Recreation Area,,6285362,Not Started,North Canyon Triangle Unit RX + BLM IA (ADD-ON),150,11,2013,Broadcast Burn,Bugbee,2019-03-13
751582,NPS,Intermountain Regional Office,,Grand Canyon National Park,,3324983,Not Started,"Indian Grdns, Phantom Rnch, Roaring Sprgs, &amp; Cottonwood CGs Thin",5,0,2014,Thinning,COTTONWOOD FIRE,2019-05-27
751695,NPS,Intermountain Regional Office,,Bandelier National Monument,,3330971,Not Started,Upper Frijoles (UF 9) RX - Los Conchas WF (ADD-ON),1511,6,2011,Broadcast Burn,Frijoles,2019-07-15
751747,NPS,Intermountain Regional Office,,Lake Meredith National Recreation Area,,6271505,Not Started,Mullinaw X-ing Mastication,40,11,2012,Mastication,Bugbee,2019-03-13
751837,NPS,Intermountain Regional Office,,Grand Teton National Park,,3323119,Not Started,Colter Bay Contract - Biomass (ADD-ON),205,4,2013,Biomass Removal,Colter Bay D101,2019-09-02
751850,NPS,Intermountain Regional Office,,Grand Canyon National Park,,6284492,Not Started,Roost East Basin FY14 North Rim Slopes Rx (ADD-ON),45,10,2013,Broadcast Burn,SINKHOLES,2019-08-09
751903,NPS,Intermountain Regional Office,,Grand Teton National Park,,3323120,Not Started,Colter Bay Contract Thin (ADD-ON),205,4,2013,Thinning,Colter Bay D101,2019-09-02
751942,NPS,Intermountain Regional Office,,Lake Meredith National Recreation Area,,6291317,Not Started,North Lake Rx FY15 Prep,100,0,2015,Lop and Scatter,Week Old ,2019-06-22
751942,NPS,Intermountain Regional Office,,Lake Meredith National Recreation Area,,6291317,Completed,North Lake Rx FY15 Prep,100,0,2015,Lop and Scatter,Bugbee,2019-03-13
751942,NPS,Intermountain Regional Office,,Lake Meredith National Recreation Area,,6291317,Not Started,North Lake Rx FY15 Prep,100,0,2015,Lop and Scatter,Launch Pad,2019-07-04
751954,NPS,Intermountain Regional Office,,Lake Meredith National Recreation Area,,6291523,Not Started,North Lake Rx,3935,2,2015,Broadcast Burn,Week Old ,2019-06-22
751954,NPS,Intermountain Regional Office,,Lake Meredith National Recreation Area,,6291523,Completed,North Lake Rx,3935,2,2015,Broadcast Burn,Bugbee,2019-03-13
751954,NPS,Intermountain Regional Office,,Lake Meredith National Recreation Area,,6291523,Not Started,North Lake Rx,3935,2,2015,Broadcast Burn,Launch Pad,2019-07-04
753048,NPS,Intermountain Regional Office,,Grand Canyon National Park,,3314401,Not Started,Bright Angel Rx,29,4,2011,Broadcast Burn,EDR ,2019-08-31
753048,NPS,Intermountain Regional Office,,Grand Canyon National Park,,3314401,Not Started,Bright Angel Rx,29,4,2011,Broadcast Burn,WIDFORSS,2019-08-28
753052,NPS,Intermountain Regional Office,,Grand Canyon National Park,,6291986,Not Started,Bright Angel - Curve Unit FY16 Pile (ADD-ON),16,8,2016,Hand Pile,WIDFORSS,2019-08-28
753052,NPS,Intermountain Regional Office,,Grand Canyon National Park,,6291986,Not Started,Bright Angel - Curve Unit FY16 Pile (ADD-ON),16,8,2016,Hand Pile,EDR ,2019-08-31
753331,NPS,Intermountain Regional Office,,Bandelier National Monument,,3322962,Not Started,Valle II South Maint. Thin (ADD-ON),112,7,2012,Lop and Scatter,County Line,2019-08-27
755336,NPS,Intermountain Regional Office,,Bryce Canyon National Park,,6287933,Not Started,Rainbow PT Units 5-7 FY16 Pile,30,0,2016,Hand Pile,Rainbow Point,2019-09-25
755448,NPS,Intermountain Regional Office,,Grand Canyon National Park,,6291931,Not Started,"Indian Grdns, Phantom Rnch, Roaring Sprgs, and Cottonwood CGs FY16 Pile Burn",2,1,2016,Hand Pile Burn,COTTONWOOD FIRE,2019-05-27
755578,NPS,Intermountain Regional Office,,Bryce Canyon National Park,,6292040,Not Started,Rainbow PT Units 1-4 FY16 Pile Burn,50,0,2016,Hand Pile Burn,Rainbow Point,2019-09-25
755621,NPS,Intermountain Regional Office,,Grand Canyon National Park,,6291930,Not Started,"Indian Grdns, Phantom Rnch, Roaring Sprgs, and Cottonwood CGs FY16 Pile",4,1,2016,Hand Pile,COTTONWOOD FIRE,2019-05-27
755707,NPS,Intermountain Regional Office,,Zion National Park,,6298869,Not Started,Zion Cyn Grass FY17 RX,2,3,2017,Broadcast Burn,Watchman,2019-08-17
755806,NPS,Intermountain Regional Office,,Bryce Canyon National Park,,6280346,Not Started,Rainbow PT Units 5-7 FY16 Thin,30,0,2016,Thinning,Rainbow Point,2019-09-25
755950,NPS,Intermountain Regional Office,,Grand Canyon National Park,,3324984,Not Started,"Indian Grdns, Phantom Rnch, Roaring Sprgs, &amp; Cottonwood CGs Pile Burn (ADD-ON)",4,1,2014,Hand Pile Burn,COTTONWOOD FIRE,2019-05-27
755964,NPS,Intermountain Regional Office,,Glacier National Park,,6298356,Not Started,St. Mary Pasture FY17 Pile Burn,3,11,2016,Hand Pile Burn,Corral ,2019-10-25
900826,NPS,Intermountain Regional Office,,Tonto National Monument,,6271612,Not Started,Tonto VC and Housing Def. Space FY17 Haul (ADD-ON),4,4,2017,Biomass Removal,Woodbury,2019-06-08
900827,NPS,Intermountain Regional Office,,Tonto National Monument,,6271613,Not Started,Tonto VC and Housing Def. Space FY17 Thin  (ADD-ON),4,4,2017,Thinning,Woodbury,2019-06-08
919309,NPS,Intermountain Regional Office,,Bryce Canyon National Park,,6287932,Not Started,Rainbow Pt Unit 9 FY17 Thin,15,8,2017,Thinning,Rainbow Point,2019-09-25
919370,NPS,Intermountain Regional Office,,Zion National Park,,3314434,Not Started,Zion Parkwide WUI Thin,20,7,2011,Thinning,Watchman,2019-08-17
919399,NPS,Intermountain Regional Office,,Bryce Canyon National Park,,3326025,Not Started,Rainbow Pt Unit 9 FY17 Hand Pile,15,8,2017,Hand Pile,Rainbow Point,2019-09-25
919456,NPS,Intermountain Regional Office,,Zion National Park,,6298868,Not Started,Zion Cyn FY17 Mow/Fuel Breaks (ADD-ON),105,4,2017,Mowing,Watchman,2019-08-17
919458,NPS,Intermountain Regional Office,,Zion National Park,,3314448,Not Started,Parkwide WUI Herbicide,75,5,2011,Chemical,Watchman,2019-08-17
919475,NPS,Intermountain Regional Office,,Zion National Park,,3314438,Not Started,Zion Parkwide WUI Chip,20,7,2011,Chipping,Watchman,2019-08-17
919486,NPS,Intermountain Regional Office,,Zion National Park,,3314435,Not Started,Zion Parkwide WUI Handpile,20,7,2011,Hand Pile,Watchman,2019-08-17
919530,NPS,Intermountain Regional Office,,Zion National Park,,3314440,Completed,Zion Parkwide WUI Chem,20,7,2011,Chemical,D20,2019-01-24
931857,NPS,Intermountain Regional Office,,Tonto National Monument,,6271613,In Progress,Tonto VC and Housing Def. Space FY17 Thin  (ADD-ON),4,4,2017,Thinning,Woodbury,2019-06-08
931899,NPS,Intermountain Regional Office,,Tonto National Monument,,6271612,In Progress,Tonto VC and Housing Def. Space FY17 Haul (ADD-ON),4,4,2017,Biomass Removal,Woodbury,2019-06-08
987130,NPS,Intermountain Regional Office,,Tonto National Monument,,6313535,In Progress,TONT Developed Area FY18 Thin (ADD-ON),10,5,2018,Thinning,Woodbury,2019-06-08
987131,NPS,Intermountain Regional Office,,Tonto National Monument,,6317556,In Progress,TONT Developed Area FY18 Haul (ADD-ON),10,5,2018,Biomass Removal,Woodbury,2019-06-08
991881,NPS,Intermountain Regional Office,,Glacier National Park,,6299229,Not Started,St. Mary Pasture FY18 Pile RX,3,3,2018,Hand Pile Burn,Corral ,2019-10-25
991884,NPS,Intermountain Regional Office,,Glacier National Park,,6298355,Not Started,St. Mary Pasture FY18 Pile (ADD-ON),5,8,2018,Hand Pile,Corral ,2019-10-25
991888,NPS,Intermountain Regional Office,,Glacier National Park,,6317703,Not Started,St. Mary Pasture FY18 Fuelwood (ADD-ON),5,8,2018,Biomass Removal,Corral ,2019-10-25
991892,NPS,Intermountain Regional Office,,Glacier National Park,,6298354,Not Started,St. Mary Pasture FY18 Thin (ADD-ON),5,8,2018,Thinning,Corral ,2019-10-25
995682,NPS,Intermountain Regional Office,,Zion National Park,,6304836,Not Started,Zion Cyn FY18 Chem (ADD-ON),50,1,2018,Chemical,Watchman,2019-08-17
995711,NPS,Intermountain Regional Office,,Yellowstone National Park,,6313485,Not Started,Dev. Area 30' FY18 Thin (ADD-ON),27,8,2018,Thinning,LAKE STUMP,2019-08-26
995716,NPS,Intermountain Regional Office,,Zion National Park,,6304835,Not Started,Zion Cyn FY18 Thin,80,1,2018,Thinning,Watchman,2019-08-17
995718,NPS,Intermountain Regional Office,,Grand Canyon National Park,,6291993,In Progress,Roost Spring Cyn - Tipover E FY18 RX,390,10,2017,Broadcast Burn,IKES,2019-07-25
998203,NPS,Intermountain Regional Office,,Bryce Canyon National Park,,6304848,Not Started,Rainbow PT Units 8-10 FY18 Thin (ADD-ON),24,8,2018,Thinning,Rainbow Point,2019-09-25
998204,NPS,Intermountain Regional Office,,Bryce Canyon National Park,,6304849,Not Started,Rainbow PT Units 8-10 FY18 Pile (ADD-ON),24,8,2018,Hand Pile,Rainbow Point,2019-09-25
1009849,NPS,Intermountain Regional Office,,El Malpais National Monument,,6323563,Not Started,ELMA FY19 WILDLAND FIRES - MULTIPLE OBJECTIVES,843,8,2019,Fire Use,Lava 18,2019-08-22
1012149,NPS,Intermountain Regional Office,,Glacier National Park,,6313309,Not Started,St. Mary Pasture FY19 Pile (ADD-ON),5,6,2019,Hand Pile,CORRAL FIRE,2019-10-25
1012200,NPS,Intermountain Regional Office,,Glacier National Park,,6313310,Not Started,St. Mary Pasture FY19 Thin (ADD-ON),5,6,2019,Thinning,CORRAL FIRE,2019-10-25
